ScheduledInspectionDate,InspectionID,InspectionSearchID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
2025-04-08 00:00:00,INSP-31074,31074,MFH,800016133,1085 MANHATTAN,1085 Manhattan AVE,"Brooklyn, NY",11222
2025-04-22 00:00:00,INSP-32363,32363,MFH,800011919,10th and Lami,1000 Lami St,"Saint Louis, MO",63104
2025-03-31 00:00:00,INSP-31114,31114,MFH,800002874,10th Ave Town,6312 10TH AVE,"LOS ANGELES, CA",90043
2025-08-11 00:00:00,INSP-33145,33145,MFH,800059748,1116 BROOKVIEW,1116 Brookview Dr,"Toledo, OH",43615
2025-03-10 00:00:00,INSP-33240,33240,MFH,800004587,135TH STREET,2860 NW 135TH ST  Apt 117,"OPA LOCKA, FL",33054
2025-05-15 00:00:00,INSP-33389,33389,MFH,800016141,1569 DEVELOPMENT,1569 PROSPECT PL,"Brooklyn, NY",11233
2025-03-06 00:00:00,INSP-32191,32191,MFH,800006613,16 PARK APARTMENTS,1621 N PARK AVENUE,"INDIANAPOLIS, IN",46202
,INSP-34175,34175,MFH,800224928,1602 SOUTH STAPLES,1602 S Staples St,"Corpus Christi, TX",78404
2025-04-09 00:00:00,INSP-34340,34340,MFH,800015130,162-183 Birch,550 W 162ND ST,"New York, NY",10032
2025-04-08 00:00:00,INSP-32417,32417,MFH,800016152,1992 DAVIDSON,1992 DAVIDSON AVE,"BRONX, NY",10453
2025-03-06 00:00:00,INSP-30775,30775,MFH,800219791,27 JACKSON ROAD,291 Mystic Ave,"MEDFORD, MA",02155
2025-07-18 00:00:00,INSP-32184,32184,MFH,800248659,270 HUNTINGTON AVE,270 Huntington Ave,"BOSTON, MA",02115
2025-04-21 00:00:00,INSP-33399,33399,MFH,800219945,2827 RIVER ROAD,2827 River Road,"Niskayuna, NY",12309
2025-05-27 00:00:00,INSP-33024,33024,MFH,800003148,29 Mile Apartments,2915 Orchard Ave,"GRAND JUNCTION, CO",81504
2025-03-03 00:00:00,INSP-31075,31075,MFH,800016176,430-440 EAST 138TH,430-440 E 138th St,"BRONX, NY",10454
2025-07-28 00:00:00,INSP-31897,31897,PIH,IL002172000,4400 Grove,4424.4434  S COTTAGE GROVE ST,"Chicago, IL",60653
2025-02-19 00:00:00,INSP-32526,32526,MFH,800016179,477 LENOX AVENUE,477 MALCOLM  X  BLVD,"New York, NY",10037
,INSP-33545,33545,PIH,DC001005430,4800 Nannie Helen Burroughs,4800 Nannie Helen Burroughs Ave NE,"WASHINGTON, DC",20019
2025-08-12 00:00:00,INSP-31873,31873,PIH,IA020000006,5H,2309 EUCLID,"Des Moines, IA",50310
2025-05-07 00:00:00,INSP-33427,33427,MFH,800001271,615 MANHATTAN,615 S MANHATTAN PL,"LOS ANGELES, CA",90005
2025-03-11 00:00:00,INSP-31076,31076,MFH,800016186,658 MONTGOMERY,658 MONTGOMERY ST,"Brooklyn, NY",11225
2025-03-19 00:00:00,INSP-33950,33950,MFH,800006526,65TH STREET,6400 South Maryland,"Chicago, IL",60637
,INSP-33651,33651,PIH,PA004000700,700 Building,700 Union St,"ALLENTOWN, PA",18101
2025-06-13 00:00:00,INSP-34423,34423,MFH,800002599,740 S. Olive,740 S OLIVE ST,"LOS ANGELES, CA",90014
2025-05-08 00:00:00,INSP-34430,34430,MFH,800002898,80th Street Apts,710 W 80TH ST,"LOS ANGELES, CA",90044
,INSP-34352,34352,MFH,800016191,82 BANK STREET,82 BANK ST,"WHITE PLAINS, NY",10606
2025-04-16 00:00:00,INSP-33097,33097,MFH,800009915,8330 ON THE RIVER,8330 East JEFFERSON AVE,"Detroit, MI",48214
2025-05-13 00:00:00,INSP-33201,33201,MFH,800021567,911 GLENOAK APTS,711 Glenoak Dr,"Corpus Christi, TX",78418
2025-05-22 00:00:00,INSP-32201,32201,MFH,800002901,A & M APTS,618 13TH ST,"GREELEY, CO",80631
2025-03-05 00:00:00,INSP-31980,31980,PIH,NY002000043,A.D. Price - Phase I,43 MORTIMER ST.,"BUFFALO, NY",14204
2025-04-21 00:00:00,INSP-31827,31827,PIH,AL101000001,ABBEVILLE HOUSING AUTH,194  ASH  STREET,"ABBEVILLE, AL",36310
2025-05-12 00:00:00,INSP-33037,33037,MFH,800017791,Abbie Lane,1011 ABBIE LN,"EUGENE, OR",97401
2025-07-22 00:00:00,INSP-32980,32980,MFH,800005687,ABELL APARTMENTS,314 Cherry Street,"OMAHA, IL",62871
2025-03-18 00:00:00,INSP-32900,32900,MFH,800218063,Aberdeen Senior,901 Barnett Ln,"ABERDEEN, MD",21001
2025-03-04 00:00:00,INSP-32324,32324,MFH,800004296,ABILITIES AT,2500 HARN BLVD,"CLEARWATER, FL",33764
2025-03-03 00:00:00,INSP-34214,34214,MFH,800067303,ABILITIES AT,4215 E BAY DR,"CLEARWATER, FL",33764
2025-03-04 00:00:00,INSP-34216,34216,MFH,800211382,ABILITIES AT,379 47th Ave N,"SAINT PETERSBURG, FL",33703
2025-03-13 00:00:00,INSP-32349,32349,MFH,800219355,ABILITIES AT SAN,100 San Juan Circle,"Melbourne, FL",32935
2025-03-03 00:00:00,INSP-32348,32348,MFH,800214872,ABILITIES AT ST.,605 N Keene Rd,"CLEARWATER, FL",33755
2025-03-27 00:00:00,INSP-32233,32233,MFH,800020070,Ability Building,600 E 10TH ST,"YANKTON, SD",57078
2025-05-27 00:00:00,INSP-31874,31874,PIH,IL002001000,ABLA,1353-71 S. Loomis St,"Chicago, IL",60608
2025-04-22 00:00:00,INSP-33794,33794,MFH,800009080,ABUNDANT LIFE,5110 Baltimore National PIKE,"BALTIMORE, MD",21229
2025-03-18 00:00:00,INSP-31126,31126,MFH,800213190,Acacia Villas,1360 Acacia,"HEMET, CA",92544
2025-07-18 00:00:00,INSP-33885,33885,MFH,800008257,ACADEMY KNOLL,22 BROAD ST,"MARLBOROUGH, MA",01752
2025-04-02 00:00:00,INSP-33580,33580,PIH,LA027000325,ACADIAN HOMES,325 NORTH Street,"NEW IBERIA, LA",70560
2025-05-19 00:00:00,INSP-33416,33416,MFH,800001000,Accessible Apts.,4222 Van Buren Pl,"Culver City, CA",90232
2025-04-30 00:00:00,INSP-30927,30927,MFH,800074139,"ACCESSIBLE HOMES,",6112 WALRAVEN CIR,"FORT WORTH, TX",76133
2025-07-22 00:00:00,INSP-33260,33260,MFH,800005192,Acorn Acres Phase,1805 N 8th St,"Red Oak, IA",51566
2025-05-29 00:00:00,INSP-31988,31988,PIH,OH004000201,ACQUISITION-REHAB,2106 SINTON AVE Avenue,"CINCINNATI, OH",45206
2025-05-07 00:00:00,INSP-31990,31990,PIH,OH004000205,ACQUISITION-REHAB,1088 LIBERTY,"CINCINNATI, OH",45206
2025-08-11 00:00:00,INSP-33630,33630,PIH,OH004000202,ACQUISITION-REHAB,2106  2106 SINTON AVE Avenue,"CINCINNATI, OH",45206
2025-08-13 00:00:00,INSP-33631,33631,PIH,OH004000206,ACQUISITION-REHAB,1088 W Liberty St,"CINCINNATI, OH",45214
2025-08-15 00:00:00,INSP-33632,33632,PIH,OH004000208,ACQUISITION-REHAB,1088 W Liberty St,"CINCINNATI, OH",45214
2025-05-02 00:00:00,INSP-33618,33618,PIH,NY002000047,AD Price III,295 Spring St Upper,"BUFFALO, NY",14204
2025-03-21 00:00:00,INSP-33617,33617,PIH,NY002000044,AD Price Phase II,450 JEFFERSON AVE,"BUFFALO, NY",14204
2025-04-24 00:00:00,INSP-32000,32000,PIH,OK024000002,ADA HOUSING AUTHORITY,1100 N Stockton Ave.,"Ada, OK",74820
2025-04-07 00:00:00,INSP-30611,30611,MFH,800007482,ADAIRVILLE ARMS,104 Staggers Ave,"Adairville, KY",42202
2025-04-30 00:00:00,INSP-32933,32933,MFH,800009563,ADAM COURT,1 Adams Ct,"South Portland, ME",04106
2025-02-19 00:00:00,INSP-30984,30984,MFH,800019458,ADAPTIVE,1 Sam Smith Street  2164 Avalon Dr.,"SUMTER, SC",29151
2025-05-02 00:00:00,INSP-31118,31118,MFH,800076407,ADDA & PAUL SAFRAN,151 Ocean Front Walk,"VENICE, CA",90291
2025-07-24 00:00:00,INSP-32628,32628,PIH,MA012000002,ADDISON ST APT,50  MURRAY Avenue,"WORCESTER, MA",01610
2025-03-24 00:00:00,INSP-32228,32228,MFH,800019858,ADVANCE,905 5TH ST S,"BROOKINGS, SD",57006
2025-03-24 00:00:00,INSP-32227,32227,MFH,800019843,ADVANCE ASSOCIATE,202 6TH AVE S,"BROOKINGS, SD",57006
2025-03-19 00:00:00,INSP-32740,32740,MFH,800004591,Aesthetic Housing,919  E Ethel ST,"DOUGLAS, GA",31533
2025-02-24 00:00:00,INSP-30663,30663,MFH,800065354,AGAPE II,2117 AVENUE H,"BIRMINGHAM, AL",35218
2025-03-28 00:00:00,INSP-33735,33735,MFH,800012460,AHEPA  408,109 North Kerr Avenue,"WILMINGTON, NC",28403
2025-04-25 00:00:00,INSP-34114,34114,MFH,800224914,AHEPA  63 APTS,485 South Avenue,"TALLMADGE, OH",44278
2025-02-20 00:00:00,INSP-33011,33011,MFH,800218083,AHEPA 232,5685 Eden Village Dr,"INDIANAPOLIS, IN",46254
2025-08-07 00:00:00,INSP-33220,33220,MFH,800000130,AHEPA 23-II,285 Sylvest Drive,"MONTGOMERY, AL",36117
2025-09-08 00:00:00,INSP-32167,32167,MFH,800056655,AHEPA 250 II -,95 Clark Lane,"Waterford, CT",06385
,INSP-30997,30997,MFH,800224794,AHEPA 284-IV,441 Pelham Dr,"COLUMBIA, SC",29209
,INSP-34172,34172,MFH,800219754,AHEPA 29 IV,13830 Canyon Hill Dr,"Houston, TX",77083
2025-05-29 00:00:00,INSP-30776,30776,MFH,800223190,AHEPA 35 MANOR,681 W Hollis St,"Nashua, NH",03062
2025-07-14 00:00:00,INSP-33095,33095,MFH,800009871,AHEPA 371,26700 Crocker Blvd,"Harrison Township, MI",48045
,INSP-33353,33353,MFH,800014746,AHEPA 67 APTS,100 Ahepa Cir,"WEBSTER, NY",14580
2025-04-29 00:00:00,INSP-33392,33392,MFH,800055809,AHEPA 67 II,100 Ahepa Dr,"Cheektowaga, NY",14227
2025-02-21 00:00:00,INSP-30803,30803,MFH,800068939,AHEPA 78,2022 W. 79TH PLACE,"MERRILLVILLE, IN",46410
2025-03-18 00:00:00,INSP-33993,33993,MFH,800232478,AHEPA PENELOPE 60,810 S Merrifield Ave,"Mishawaka, IN",46544
2025-05-21 00:00:00,INSP-33472,33472,MFH,800005077,AINAKEA ELDERLY,533996 AINAKEA DR,"KAPAAU, HI",96755
,INSP-33873,33873,MFH,800235623,ALAMEDA GARDENS,164 Alameda Rd,"BUTLER, PA",16001
2025-05-21 00:00:00,INSP-33688,33688,MFH,800000137,ALAMEDA TERRACE,1750 Alameda Ct,"BIRMINGHAM, AL",35211
2025-04-15 00:00:00,INSP-30916,30916,MFH,800020641,Alamo Apartments,RR 4 Box 161A,"Floresville, TX",78114
2025-06-13 00:00:00,INSP-32635,32635,PIH,MD002000204,ALBEMARLE SQUARE-Scattered sites,709 East Eager Street,"BALTIMORE, MD",21202
,INSP-33108,33108,MFH,800016218,ALBRIGHT,4900 BIDDISON AVE,"DAYTON, OH",45426
2025-04-16 00:00:00,INSP-32889,32889,MFH,800053811,Alden Park,4711 Berwin House Road,"COLLEGE PARK, MD",20740
2025-03-11 00:00:00,INSP-30842,30842,MFH,800022334,ALDERWOOD MANOR,401 Alder Ave,"WARDEN, WA",98857
2025-08-04 00:00:00,INSP-33417,33417,MFH,800001009,Alexander Center,901 GAIL AVE,"ARBUCKLE, CA",95912
2025-07-25 00:00:00,INSP-30911,30911,MFH,800008239,Alexander-Harvey,5222 HOLLYWOOD ST,"BATON ROUGE, LA",70805
2025-02-24 00:00:00,INSP-33951,33951,MFH,800006540,ALEXANDRIA MANOR,600 EAST JACKSON STREET,"ALEXANDRIA, IN",46001
2025-03-12 00:00:00,INSP-33323,33323,MFH,800022840,ALICE HENKE VILLA,215 West Mohawk Drive,"TOMAHAWK, WI",54487
,INSP-33418,33418,MFH,800001015,All Hallows Garden,65 Navy Rd,"SAN FRANCISCO, CA",94124
2025-02-26 00:00:00,INSP-34314,34314,MFH,800013929,ALLAIRE MANOR,2011 NEW BEDFORD RD,"WALL TOWNSHIP, NJ",07719
2025-03-03 00:00:00,INSP-30965,30965,MFH,800003898,ALLAPATTAH,1380 NW 24TH AVE,"Miami, FL",33125
2025-02-26 00:00:00,INSP-33806,33806,MFH,800018177,ALLEGHENY MANOR,174 MAIN ST,"TIDIOUTE, PA",16351
2025-05-30 00:00:00,INSP-34443,34443,MFH,800112454,Allen House,1808 Las Lunas St,"PASADENA, CA",91107
2025-08-14 00:00:00,INSP-32103,32103,MFH,800249507,Allen Wilson Phase,1480 Commerce Drive,"DECATUR, GA",30030
2025-03-07 00:00:00,INSP-30694,30694,MFH,800018182,ALLENTOWN NSA,1339 Allen Street,"ALLENTOWN, PA",18102
2025-06-09 00:00:00,INSP-30825,30825,MFH,800017799,ALOHA PROJECT,4455 SW 184th Avenue,"ALOHA, OR",97007
2025-07-17 00:00:00,INSP-31857,31857,PIH,FL039000001,Alpine Heights and Highland Terrace,120  OERTING Drive,"DEFUNIAK SPRINGS, FL",32435
2025-05-29 00:00:00,INSP-32878,32878,MFH,800023533,Alpine Village,500 Shaffer Avenue,"TERRA ALTA, WV",26764
2025-02-27 00:00:00,INSP-33401,33401,MFH,800222554,Alternatives Homes,293 Grove St,"BRIDGEWATER, NJ",08807
2025-09-08 00:00:00,INSP-31875,31875,PIH,IL002002000,ALTGELD GARDENS I,969 E 132ND Place,"Chicago, IL",60827
2025-08-08 00:00:00,INSP-32331,32331,MFH,800019055,ALTURAS DE,State Road 485 KM 0.8,"QUEBRADILLAS, PR",00678
2025-08-20 00:00:00,INSP-33419,33419,MFH,800001026,Alvarado Gardens,1800 N ALVARADO ST,"LOS ANGELES, CA",90026
2025-08-18 00:00:00,INSP-32489,32489,MFH,800211299,Alvarez Court,760 Alvarez Avenue,"PINOLE, CA",94564
2025-03-12 00:00:00,INSP-32996,32996,MFH,800006918,AMBER WOODS,10202 John Jay Drive,"INDIANAPOLIS, IN",46235
2025-03-21 00:00:00,INSP-32344,32344,MFH,800063718,AMERICAN,118 Legion St.  Suite 118B,"EASLEY, SC",29640
2025-03-14 00:00:00,INSP-34078,34078,MFH,800016228,AMESBURY ROSALIND,9300 AMESBURY AVE,"CLEVELAND, OH",44106
2025-07-09 00:00:00,INSP-34387,34387,MFH,800001034,Ammel Park Coop,656 GROVE ST,"SAN FRANCISCO, CA",94102
2025-05-09 00:00:00,INSP-31955,31955,PIH,NH003000003,"AMP 3-CT,WT,SJ","279 Central Ave, 3 Green St, 18 Chapel","Dover, NH",03820
2025-05-28 00:00:00,INSP-34166,34166,MFH,800112392,ANADARKO WILLOWS,901 Wells Dr,"ANADARKO, OK",73005
2025-05-23 00:00:00,INSP-32185,32185,MFH,800005700,ANATHOTH GARDENS,34 N Keeler,"Chicago, IL",60624
,INSP-31971,31971,PIH,NJ015000001,ANDREW JACKSON GRDNS,400 Harrison Street,"HOBOKEN, NJ",07030
2025-06-04 00:00:00,INSP-32074,32074,MFH,800012797,Andrews Park,SLADE ST.,"WILLIAMSTON, NC",27892
2025-05-27 00:00:00,INSP-33420,33420,MFH,800001043,Angelus Plaza II,200 S OLIVE ST,"LOS ANGELES, CA",90012
2025-05-19 00:00:00,INSP-30711,30711,MFH,800022117,Annetta M. Lane,2734 GATE HOUSE RD,"NORFOLK, VA",23504
,INSP-33182,33182,MFH,800020657,Antioch Village,1514 Upland Rd,"San Antonio, TX",78219
2025-08-15 00:00:00,INSP-32438,32438,MFH,800001049,Apartamentos de la,3590 19TH STREET,"SAN FRANCISCO, CA",94110
2025-06-12 00:00:00,INSP-33663,33663,PIH,PA043004302,APOLLO/TERRACE APTS,270 E MAIN STREET,"NANTICOKE, PA",18634
2025-04-01 00:00:00,INSP-33273,33273,MFH,800011431,APPLE MANOR,301 Lexington Rd,"Pleasant Hill, MO",64080
2025-05-01 00:00:00,INSP-34035,34035,MFH,800022339,APPLEWOOD,4403 E. 8th Ave.,"Spokane Valley, WA",99212
2025-05-16 00:00:00,INSP-30728,30728,MFH,800222600,AP's Freedom,11366 Occohannock Neck Road,"EXMORE, VA",23350
2025-02-27 00:00:00,INSP-30706,30706,MFH,800021686,AQUA VISTA,646 6TH ST,"NEWPORT NEWS, VA",23607
2025-07-14 00:00:00,INSP-34461,34461,MFH,800249015,Arbor Creek Family,8340 Elk Grove Florin Rd,"SACRAMENTO, CA",95829
2025-04-21 00:00:00,INSP-31918,31918,PIH,MD002000101,ARBOR OAKS,"811 DARTMOUTH RD APT A, Suite A","BALTIMORE, MD",21212
2025-09-10 00:00:00,INSP-32246,32246,MFH,800112197,Arbor Ridge,9503 Hazel Dell Ave,"VANCOUVER, WA",98665
,INSP-33724,33724,MFH,800007798,ARBORS OF GLASGOW,108 ADAMS PLACE,"GLASGOW, KY",42141
2025-05-20 00:00:00,INSP-34142,34142,MFH,800017553,ARBUCKLE RIDGE,629 NW 3RD ST,"WILSON, OK",73463
2025-03-24 00:00:00,INSP-33690,33690,MFH,800000187,ARC HOME (THE),227 MCINTYRE AVENUE,"JACKSON, AL",36545
2025-05-12 00:00:00,INSP-34310,34310,MFH,800003812,ARC HUD I,17910 Ebbtide Dr Lot 51,"Lewes, DE",19958
2025-04-08 00:00:00,INSP-34356,34356,MFH,800058235,ARC HUD II,517 STAMFORD RD,"NEWARK, DE",19711
2025-04-08 00:00:00,INSP-33771,33771,MFH,800224015,Arc Mecklenburg,2008 Summey Ave,"CHARLOTTE, NC",28205
2025-03-18 00:00:00,INSP-30743,30743,MFH,800003535,ARC OF SOUTHINGTON,314 SUMMER ST,"Southington, CT",06489
2025-04-07 00:00:00,INSP-32068,32068,MFH,800012590,ARC/HDS,4400 DALMOOR DR,"CHARLOTTE, NC",28212
2025-03-18 00:00:00,INSP-30630,30630,MFH,800012469,ARC/HDS ALAMANCE,722 KIVETT ST,"Burlington, NC",27215
2025-05-02 00:00:00,INSP-32058,32058,MFH,800012482,ARC/HDS ALAMANCE,450 E McPHERSON DR,"MEBANE, NC",27302
2025-03-18 00:00:00,INSP-32765,32765,MFH,800012477,ARC/HDS ALAMANCE,407 Aspen Ct,"GRAHAM, NC",27253
2025-04-03 00:00:00,INSP-33736,33736,MFH,800012473,ARC/HDS ASHE CO GH,342 LONG ST,"JEFFERSON, NC",28640
2025-04-03 00:00:00,INSP-30631,30631,MFH,800012486,ARC/HDS AVERY CO,198 CEMETERY RD,"NEWLAND, NC",28657
2025-03-18 00:00:00,INSP-30642,30642,MFH,800012722,ARC/HDS BEAUFORT,903 E 7th St,"WASHINGTON, NC",27889
2025-03-18 00:00:00,INSP-32059,32059,MFH,800012491,ARC/HDS BEAUFORT,405 E 6th St,"WASHINGTON, NC",27889
2025-03-17 00:00:00,INSP-30633,30633,MFH,800012504,ARC/HDS CABARRUS,211 LONG ST NE,"CONCORD, NC",28025
2025-04-02 00:00:00,INSP-30632,30632,MFH,800012496,ARC/HDS CALDWELL,713 SEVERT CIRCLE,"LENOIR, NC",28645
2025-04-02 00:00:00,INSP-32061,32061,MFH,800012508,ARC/HDS CATAWBA CO,401 N 4TH AVE,"MAIDEN, NC",28650
2025-03-26 00:00:00,INSP-30634,30634,MFH,800012512,ARC/HDS CHATHAM,1011 W FIFTH ST,"SILER CITY, NC",27344
2025-05-13 00:00:00,INSP-32060,32060,MFH,800012500,ARC/HDS COLUMBUS,101 NOLAN AVE,"WHITEVILLE, NC",28472
2025-03-26 00:00:00,INSP-30635,30635,MFH,800012520,ARC/HDS CRAVEN CO,2401 Dogwood Dr Ste 101,"NEW BERN, NC",28562
2025-03-27 00:00:00,INSP-30636,30636,MFH,800012525,ARC/HDS CUMBERLAND,1533 MINTZ AVE,"FAYETTEVILLE, NC",28303
2025-03-28 00:00:00,INSP-33737,33737,MFH,800012529,ARC/HDS DAVIDSON,123 DELTA ST,"LEXINGTON, NC",27292
2025-05-02 00:00:00,INSP-32062,32062,MFH,800012538,ARC/HDS DURHAM CO,1119 Carpenter Fletcher Rd,"DURHAM, NC",27713
2025-05-05 00:00:00,INSP-32063,32063,MFH,800012545,ARC/HDS FORSYTH CO,5260 PINEVIEW DR,"WINSTON-SALEM, NC",27105
2025-04-15 00:00:00,INSP-32065,32065,MFH,800012562,ARC/HDS GASTON CO,1030 FORESTBROOK DR,"GASTONIA, NC",28056
2025-04-15 00:00:00,INSP-32770,32770,MFH,800012682,ARC/HDS GASTON CO,401 E THIRD AVE,"GASTONIA, NC",28054
2025-05-01 00:00:00,INSP-32064,32064,MFH,800012558,ARC/HDS GUILFORD,801 Larkwood DR,"GREENSBORO, NC",27410
2025-05-01 00:00:00,INSP-32066,32066,MFH,800012566,ARC/HDS GUILFORD,101 Andrea Dr,"JAMESTOWN, NC",27282
2025-03-20 00:00:00,INSP-32766,32766,MFH,800012573,ARC/HDS HAYWOOD CO,226 Solitary Meadow Cir,"Waynesville, NC",28786
2025-05-13 00:00:00,INSP-32067,32067,MFH,800012583,ARC/HDS LEE COUNTY,2412 Knollwood Dr,"SANFORD, NC",27330
2025-03-05 00:00:00,INSP-32069,32069,MFH,800012594,ARC/HDS MCDOWELL,40 Fourth C St,"MARION, NC",28752
2025-03-27 00:00:00,INSP-32070,32070,MFH,800012598,ARC/HDS MOORE,715 E SOUTH ST,"ABERDEEN, NC",28315
2025-03-26 00:00:00,INSP-30637,30637,MFH,800012604,ARC/HDS ORANGE,1003 W MAIN ST,"CARRBORO, NC",27510
2025-03-31 00:00:00,INSP-30638,30638,MFH,800012617,ARC/HDS PITT,1203 RED BANKS RD,"GREENVILLE, NC",27858
2025-04-04 00:00:00,INSP-32767,32767,MFH,800012609,ARC/HDS PITT,6570 Fairway Dr,"Grifton, NC",28530
2025-03-28 00:00:00,INSP-30639,30639,MFH,800012622,ARC/HDS ROCKINGHAM,908 Church ST,"EDEN, NC",27288
2025-05-05 00:00:00,INSP-32071,32071,MFH,800012634,ARC/HDS ROCKINGHAM,601 EUGENE ST,"REIDSVILLE, NC",27320
2025-03-24 00:00:00,INSP-32771,32771,MFH,800012687,ARC/HDS Rowan,125 SHAMROCK DR,"SALISBURY, NC",28144
2025-04-01 00:00:00,INSP-32768,32768,MFH,800012641,ARC/HDS Sampson,300 JACOBS ST,"Clinton, NC",28328
2025-06-02 00:00:00,INSP-32769,32769,MFH,800012652,ARC/HDS STOKES,100 MCGEE CT,"KING, NC",27021
2025-03-24 00:00:00,INSP-33738,33738,MFH,800012660,ARC/HDS UNION,210 S STEWART ST,"WINGATE, NC",28174
2025-04-03 00:00:00,INSP-30640,30640,MFH,800012667,ARC/HDS WATAUGA,364 KELLWOOD DR,"BOONE, NC",28607
2025-03-11 00:00:00,INSP-31139,31139,MFH,800224809,Arcadia Courtside,1416 N Monroe St,"ALBANY, GA",31701
2025-08-25 00:00:00,INSP-33019,33019,MFH,800002915,ARCHULETA HOUSING,189 North 7th Street,"PAGOSA SPRINGS, CO",81147
2025-07-10 00:00:00,INSP-32274,32274,MFH,800000509,ARCHWAY APARTMENTS,1015 N Nashville Ave,"Russellville, AR",72801
2025-03-26 00:00:00,INSP-32108,32108,MFH,800018196,ARDMORE HOUSING,75 ARDMORE AVE,"ARDMORE, PA",19003
2025-05-28 00:00:00,INSP-34288,34288,MFH,800022851,ARGENT APARTMENTS,305 S EYDER ST,"PHILLIPS, WI",54555
,INSP-32334,32334,MFH,800019470,"ARH, INC.",1342 HAYNE AVE.  SW,"AIKEN, SC",29801
2025-06-30 00:00:00,INSP-32046,32046,MFH,800007488,ARLINGTON HEIGHTS,73 Hobbs St,"ARLINGTON, KY",42021
2025-08-05 00:00:00,INSP-33629,33629,PIH,OH002000700,Arlington Heights Rental I,801 PARK AVE,"Youngstown, OH",44510
2025-03-18 00:00:00,INSP-33874,33874,MFH,800235844,Arlington II,5500 Wabash Avenue,"BALTIMORE, MD",21215
2025-03-27 00:00:00,INSP-33388,33388,MFH,800016092,ARTISTS HOUSING,463 WEST ST,"New York, NY",10014
2025-03-20 00:00:00,INSP-32772,32772,MFH,800012692,AS Buncombe Co. GH,1 Pine Spring Dr,"Asheville, NC",28805
2025-03-27 00:00:00,INSP-33734,33734,MFH,800012453,AS NEW HANOVER CO.,1519 ROBERT E. LEE DR,"WILMINGTON, NC",28412
2025-03-24 00:00:00,INSP-32093,32093,MFH,800112339,AS STANLY CO. G.H.,824 Blake Rd,"ALBEMARLE, NC",28001
2025-05-28 00:00:00,INSP-30641,30641,MFH,800012699,AS WAKE CO. G.H.,5117 GLEN FOREST DR,"RALEIGH, NC",27612
,INSP-34079,34079,MFH,800016241,ASBURY APARTMENTS,215 MCDANIEL STREET,"DAYTON, OH",45405
,INSP-32721,32721,MFH,800000145,ASHLAND HEIGHTS,10 ASHLAND HEIGHTS DRIVE,"ASHLAND, AL",36251
2025-08-04 00:00:00,INSP-32144,32144,MFH,800008277,ASHLAND HOUSE,119 MAIN ST,"ASHLAND, MA",01721
2025-03-24 00:00:00,INSP-31033,31033,MFH,800010758,ASHLAND PLACE /,222 ASHLAND ST N,"CAMBRIDGE, MN",55008
2025-04-01 00:00:00,INSP-30960,30960,MFH,800235482,Ashley Manor,418 E Jefferson St,"Hamburg, AR",71646
,INSP-30714,30714,MFH,800022160,Ashley Oaks,1402 JENNIE SCHER ROAD,"RICHMOND, VA",23231
,INSP-30593,30593,MFH,800000146,ASHVILLE SEC 8,100 LAUREL LN,"ASHVILLE, AL",35953
2025-02-20 00:00:00,INSP-34315,34315,MFH,800013947,ASPEN STRATFORD B,29 STRATFORD PL,"NEWARK, NJ",07108
2025-03-25 00:00:00,INSP-33352,33352,MFH,800014735,ASPEN TOWER,350 Front ST,"OLEAN, NY",14760
2025-05-22 00:00:00,INSP-30823,30823,MFH,800012327,ASPEN VILLAGE,3010 11th Ave S,"Great Falls, MT",59405
2025-03-12 00:00:00,INSP-33027,33027,MFH,800005547,ASPENWOOD,235 S 4TH ST,"Montpelier, ID",83254
2025-04-30 00:00:00,INSP-32904,32904,MFH,800221680,Assaley Place,1532 Jackson Street,"Charleston, WV",25311
2025-06-16 00:00:00,INSP-32085,32085,MFH,800020074,ATHENS MEWS,1728 Garden DR,"ATHENS, TN",37303
2025-08-27 00:00:00,INSP-32041,32041,MFH,800004628,Athens Midtown,155 Hickman DR,"ATHENS, GA",30610
2025-04-02 00:00:00,INSP-32879,32879,MFH,800023537,Athens Terrace,CALDWELL STREET,"ATHENS, WV",24712
2025-06-23 00:00:00,INSP-34043,34043,MFH,800077894,AUBURN COMMUNITY,1205 24TH ST SE,"AUBURN, WA",98002
2025-04-22 00:00:00,INSP-32934,32934,MFH,800009570,Auburn Esplanade,20 Great Falls Plz,"AUBURN, ME",04210
2025-04-17 00:00:00,INSP-34388,34388,MFH,800001070,AUBURN VILLA,628 MIKKELSEN DR,"AUBURN, CA",95603
2025-04-03 00:00:00,INSP-31944,31944,PIH,MS065000001,AUGUST CIRCLE,"801 North College Street, 801 N COLLEGE STREET","BOONEVILLE, MS",38829
2025-05-09 00:00:00,INSP-32965,32965,MFH,800056352,AUSTIN PLACE,156 BROADWAY STREET,"PAWTUCKET, RI",02860
2025-06-23 00:00:00,INSP-33527,33527,PIH,CT006000002,AUSTIN RD & S END TURNKY,2  LAKEWOOD Road,"WATERBURY, CT",06704
2025-03-05 00:00:00,INSP-33903,33903,MFH,800013751,AUTUMN LEAF,50 Ivy Dr,"Keene, NH",03431
2025-03-20 00:00:00,INSP-32520,32520,MFH,800009894,AUTUMN RIDGE,36300 Dequindre Road,"STERLING HEIGHTS, MI",48310
